dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-03-30,B,19039.586234186227,44.45883019574128,870.8444010416666,861.26708984375,1075.912841796875,0.06686969101428986,1.3799999952316284,1.2899999618530273
2025-03-31,A,18876.01342629896,,855.5908203125,868.271240234375,1085.9195149739583,983.348388671875,1.340000033378601,1.3300000429153442
2025-03-31,B,17257.042452276877,29.30363829613996,836.1988118489584,868.34814453125,1077.36474609375,1012.13232421875,1.340000033378601,1.3300000429153442
2025-04-01,A,17495.426659860077,,794.2747395833334,864.9807942708334,843.75634765625,876.5665690104166,1.3400000333786,1.3300000429153442
2025-04-01,B,18988.973404039833,24.339169575071235,808.4430338541666,861.162109375,1108.2152506510417,1007.732177734375,1.340000033378601,1.3300000429153442
2025-04-02,A,3494.3272439438997,,840.7994791666666,867.6181640625,993.8443196614584,992.505615234375,1.4900000095367432,1.4600000381469727
2025-04-02,B,17875.978035351563,26.08854602346379,842.9853726415365,874.7827286195694,724.7682291666666,615.9287923177084,1.4900000095367432,1.4600000381469727
2025-04-03,A,16979.99818279354,,745.6209568017609,739.0439184317153,251.87615966796875,170.20610555013022,1.4900000095367432,1.4600000381469727
2025-04-03,B,16335.924045567168,22.41205257984695,870.6394856770834,840.8154296875,1227.8379720052083,995.7237141927084,1.4900000095367432,1.4600000381469727
2025-04-04,A,10814.985095880682,,873.5215657552084,844.3920084635416,1077.386962890625,870.96044921875,1.399999976158142,1.5099999904632568
2025-04-04,B,18357.89660907048,29.233999185457836,869.0240885416666,860.5682779947916,1108.54833984375,955.681396484375,1.399999976158142,1.5099999904632568
2025-04-05,A,17513.919683180276,,866.4817708333334,866.1167805989584,1082.5809733072917,847.3142903645834,1.4600000381469727,1.5099999904632568
2025-04-05,B,18430.14638059048,24.938747842540604,849.871826171875,864.246337890625,1098.4668782552083,910.30615234375,1.4600000381469727,1.5099999904632568
2025-04-06,A,18659.985205047808,,850.523681640625,863.7393391927084,1130.9557291666667,865.778564453125,1.600000023841858,1.4600000381469727
2025-04-06,B,18604.569765463206,24.139292706214878,848.0201009114584,863.6591796875,1018.430908203125,897.505615234375,1.6399999856948853,1.4800000190734863
2025-04-07,A,13334.63566194002,,846.4022623697916,860.9046223958334,1067.2687174479167,894.61328125,1.659999966621399,1.5199999809265137
2025-04-07,B,16602.026921900368,31.682890413842706,842.2460123697916,809.0716959635416,897.7005208333334,934.9029134114584,1.659999966621399,1.5199999809265137
2025-04-08,A,17501.48982708973,,843.947021484375,771.5539286958747,876.2552897135416,926.1620279947916,1.5299999713897705,1.5
2025-04-08,B,18991.211222906622,32.01599131835479,851.5555826822916,748.4078776041666,1127.6605631510417,852.13916015625,1.4199999570846558,1.4600000381469727
